plotID,priority,Latitude,Longitude,elevation,slope,exposition,LNF_Code,Nutzungsid,LU1980,LU2000,LU2020,mgroup,P.Test.CO2.
BEOE01,MP1,46.69419846882023,7.758288900786426,1239,45,206,611,236491,NA,OE,TRUE,CE,NA
BOOE14,MP1,46.79295556680028,9.351066771934608,898,12,255,611,ANU2002119,NA,OE,TRUE,CE,NA
ENOE06,MP1,46.94666795674955,8.34205150776645,788,25,31,611,7116,NA,OE,TRUE,CE,NA
FLOE10,MP1,46.70081061265219,9.372651306534344,1767,10,112,612,ANU1234289,NA,OE,TRUE,CE,NA
GEOE03,MP1,47.05589719006037,8.43425516769494,503,22,261,611,LU.KUL.272657,NA,OE,TRUE,CE,NA
LPOE01,MP1,46.57494575770788,9.91661048585446,1710,10,132,612,ANU1605718,NA,OE,TRUE,CE,NA
MAOE10,MP1,46.97375416752748,9.176819626500944,1471,40,206,611,8051,NA,OE,TRUE,CE,NA
PEOE08,MP1,46.84527038735388,9.689979481059485,1816,20,183,611,ANU1244016,NA,OE,TRUE,CE,NA
RHOE02,MP1,46.77520450353518,9.38784021839778,1341,20,80,611,ANU2041695,NA,OE,TRUE,CE,NA
SIOE07,MP1,46.80149130861126,9.153512472368204,1571,20,189,611,ANU2206981,NA,OE,TRUE,CE,NA
SPOEX1,MP1,46.54714627999116,9.326848774406931,1579,8,345,611,ANU2040212,NA,OE,TRUE,CE,NA
BEWE05,MP1,46.69095834585457,7.794858959476794,808,20,138,616,742994,NA,WE,FALSE,CI,NA
ENWE03,MP1,46.94907816156429,8.344471129460896,688,40,1,616,18643,NA,WE,FALSE,CI,NA
FLWI02,MP1,46.706726358884566,9.395100458757051,1425,4,76,613,6622766130000j00,NA,WI,FALSE,CI,NA
GEWE06,MP1,47.05731184243345,8.44556370248666,827,28,286,616,LU.KUL.952326,NA,WE,FALSE,CI,NA
LPWI01,MP1,46.57848948646995,9.931611125617534,1690,2,326,613,7858896130000j00,NA,WI,FALSE,CI,NA
MAWE08,MP1,46.96652713361324,9.18769788760629,1355,25,176,613,7957,NA,WE,FALSE,CI,NA
PEWE09,MP1,46.84148543323048,9.667137155486882,1614,27,229,616,921123706160000j00,NA,WE,FALSE,CI,NA
SIWI06,MP1,46.788970560036134,9.152906586349074,1100,3,232,613,619143406130000j00,NA,WI,FALSE,CI,NA
SPWI05,MP1,46.55576893778723,9.323798628799487,1532,27,133,613,7147026130000j00,NA,WI,FALSE,CI,NA
SVWE08,MP1,46.66805430524072,9.545330152774415,1136,27,74,616,54232236160000j00,NA,WE,FALSE,CI,NA
BOOE09,MP1,46.79571909999897,9.347234254750262,878,1,3,613,72121906130000j00,NA,OE,FALSE,EI,NA
ENOE08,MP1,46.943333967109496,8.311269073756927,583,30,134,613,22454,NA,OE,FALSE,EI,NA
FLOE02,MP1,46.70074402038434,9.376572666498069,1709,2,103,613,6623146130000j00,NA,OE,FALSE,EI,NA
GEOE04,MP1,47.049233777944885,8.43483732221687,616,40,275,613,LU.KUL.273589,NA,OE,FALSE,EI,NA
LPOE04,MP1,46.57053742755999,9.918656161647728,1687,0,-1,613,7857926130000j00,NA,OE,FALSE,EI,NA
RHOE06,MP1,46.77148954276925,9.39344629204488,1302,20,7,613,7231635b6130000j00,NA,OE,FALSE,EI,NA
SPOE10,MP1,46.5465120709511,9.318230289385992,1500,10,342,613,7148606130000j00,NA,OE,FALSE,EI,NA
SVOE04,MP1,46.672274228244554,9.5115052393777475,1501,15,352,613,ANU2084635,NA,OE,FALSE,EI,NA
BEWE03,MP1,46.694632754910785,7.791813248714934,1101,17,153,617,863107,NA,WE,TRUE,IE,NA
FLWE04,MP1,46.70902279493619,9.376019765727484,1756,2,87,694,ANU1260197,NA,WE,TRUE,IE,NA
LPWE06,MP1,46.56073242787015,9.9142922445662,1744,3,296,617,7858136170000j00,NA,WE,TRUE,IE,NA
MAWE04,MP1,46.9444229333048,9.162016527926188,1123,20,133,617,7754,NA,WE,TRUE,IE,NA
PEWE01,MP1,46.84024071254602,9.668916985330275,1594,12,209,617,ANU1235282,NA,WE,TRUE,IE,NA
RHWE05,MP1,46.77971609318525,9.383829160414004,1395,15,95,611,ANU2041678,NA,WE,TRUE,IE,NA
SVWE06,MP1,46.667179224210344,9.543988831100275,1202,11,73,617,ANU2000179,NA,WE,TRUE,IE,NA
BEOE02,MP1,46.68853540861446,7.784076089771471,1029,0,152,611,236608,NA,OE,TRUE,CE,NA
BEOE08,MP1,46.69298855623915,7.771888607775248,1240,5,186,611,236519,NA,OE,TRUE,CE,NA
RHOE01,MP1,46.772050421020026,9.406591518040669,1181,2,41,611,ANU2041660,NA,OE,TRUE,CE,NA
FLOE08,MP1,46.70817798750765,9.397240551007943,1382,30,99,694,ANU1234005,NA,OE,TRUE,CE,NA
BEWI06,MP1,46.70304804403928,7.82829461217113,1146,20,128,612,199431,NA,WI,TRUE,IE,NA
LPWI02,MP1,46.57921478584317,9.933411759146434,1690,0,344,694,ANU1605607,NA,WI,TRUE,IE,NA
PEWE11,MP1,46.83535377347623,9.690875976078091,1518,3,201,617,ANU15621,NA,WE,TRUE,IE,NA
LPWE02,MP1,46.573802948687785,9.93862480082701,1757,16,309,617,ANU1605542,NA,WE,TRUE,IE,NA
MAWE05,MP1,46.96505380350618,9.182439143437772,1298,35,235,617,7885,NA,WE,TRUE,IE,NA
LPWI06,MP1,46.576660982967624,9.92248627169423,1690,2,137,694,ANU31555,NA,WI,TRUE,IE,NA
FLWE05,MP1,46.70580465026732,9.396375083077332,1400,25,50,611,ANU1224316,NA,WE,TRUE,IE,NA
MAWE02,MP1,46.95409694473738,9.176781004772854,962,15,316,617,7808,NA,WE,TRUE,IE,NA
GEOE09,MP1,47.05506667481814,8.436274989050927,537,27,267,613,LU.KUL.124178,NA,OE,FALSE,EI,NA
GEOE06,MP1,47.05928195102811,8.442580845371294,666,40,312,616,LU.KUL.123979,NA,OE,FALSE,EI,NA
ENOE05,MP1,46.95757910039553,8.328560840119115,507,10,90,613,7104,NA,OE,FALSE,EI,NA
GEOE08B,MP1,47.05089214183194,8.44807551685663,1009,50,358,616,LU.KUL.124386,NA,OE,FALSE,EI,NA
ENOE03,MP1,46.95299240765737,8.333253411065984,518,45,278,613,6716,NA,OE,FALSE,EI,NA
RHOE09,MP1,46.781886406911546,9.408955004947568,653,1,47,613,72312906130000j00,NA,OE,FALSE,EI,NA
LPOE02,MP1,46.57318266329503,9.930402671190384,1699,30,331,613,7857386130000j00,NA,OE,FALSE,EI,NA
FLWI04,MP1,46.70229723617156,9.391015979031485,1500,6,78,613,6622896130000j00,NA,WI,FALSE,CI,NA
PEWI09,MP1,46.83363284453417,9.68687010323372,1473,12,216,613,921125516130000j00,NA,WI,FALSE,CI,NA
MAWE07,MP1,46.96872377563896,9.16148212597377,856,25,61,616,8405,NA,WE,FALSE,CI,NA
SVWE03,MP1,46.66661647815103,9.525666677727632,1542,15,33,616,54232906160000j00,NA,WE,FALSE,CI,NA
LPWE04,MP1,46.56165991942805,9.91302988950175,1712,12,326,613,3989028792,NA,WE,FALSE,CI,NA
BEOE03,MP4,46.68708621301106,7.815596281475085,822,35,157,617,621004,NA,OE,TRUE,CE,NA
BEOE06,MP4,46.70092643521871,7.82311236099374,1233,33,144,611,819262,NA,OE,TRUE,CE,NA
ENOE02,MP4,46.95335172135295,8.34813848583895,636,15,333,611,7361,NA,OE,TRUE,CE,NA
MAOE08,MP4,46.970391525402846,9.183134105322454,1496,8,209,611,7999,NA,OE,TRUE,CE,NA
SPOE02,MP4,46.55113505621321,9.337302811738873,1630,15,315,611,ANU2040005,NA,OE,TRUE,CE,NA
BOOE06,MP4,46.7973420947752,9.35777378333768,1042,15,309,611,ANU2044645,NA,OE,TRUE,CE,NA
BOOE03,MP4,46.8044039387229,9.3658879985189,759,12,122,612,72118276120701j00,NA,OE,TRUE,CE,NA
FLOE04,MP4,46.70703894255881,9.376798773102076,1745,2,85,612,ANU1224205,NA,OE,TRUE,CE,NA
FLOE09,MP4,46.70777878675083,9.38510021588007,1606,2,78,611,ANU1223900,NA,OE,TRUE,CE,NA
RHOE04,MP4,46.77916197363838,9.391964262534398,1132,25,65,611,ANU2041061,NA,OE,TRUE,CE,NA
RHOE07,MP4,46.79222379878874,9.394275285938251,759,20,60,611,ANU2041688,NA,OE,TRUE,CE,NA
LPOE03,MP4,46.58317775626449,9.92116844768859,1780,3,117,611,ANU1605648,NA,OE,TRUE,CE,NA
LPOE11,MP4,46.571208572008366,9.929127277853135,1727,5,332,611,ANU31262,NA,OE,TRUE,CE,NA
LPOE07,MP4,46.57895356552146,9.935474977841702,1691,0,355,612,7859006120715j00,NA,OE,TRUE,CE,NA
LPOE08,MP4,46.57232132953762,9.938298308320752,1769,8,287,611,ANU1605539,NA,OE,TRUE,CE,NA
FLWE10,MP4,46.70566922455433,9.404767823137863,1223,20,49,613,6622376130000j00,NA,WE,FALSE,CI,NA
PEWI10,MP4,46.837332499842425,9.68177916551565,1558,35,148,613,921124336130000j00,NA,WI,FALSE,CI,NA
SPWI04,MP4,46.55749538340488,9.33361270812399,1513,3,202,613,7147346130000j00,NA,WI,FALSE,CI,NA
MAOE05,MP5,46.966919807285585,9.188399632651011,1375,50,176,617,7961,NA,OE,TRUE,CE,NA
RHWE09,MP5,46.79220136876256,9.395584616473824,721,30,86,611,ANU2020954,NA,WE,TRUE,IE,NA
GEWE04,MP6,47.053771653120414,8.43891605181875,691,15,294,616,LU.KUL.1668013,NA,WE,FALSE,CI,NA
MAWI07,MP6,46.95603466708877,9.167645335953653,879,20,62,613,7597,NA,WI,FALSE,CI,NA
MAWI08,MP6,46.946082852433975,9.171266443378428,864,0,51,613,7743,NA,WI,FALSE,CI,NA
