ID,elevation,canton,municipality,mgroup,LU1980,LU2000,LU2020,LNF_Code,plotID,priority,Latitude,Longitude,slope,exposition,Nutzungsid,P.Test.CO2.
MP1-LU-GR-1,503,Lucerne,Greppen,CE,NA,OE,TRUE,611,GEOE03,MP1,47.05589719006037,8.43425516769494,22,261,LU.KUL.272657,NA
MP1-NI-EN-1,507,Nidwalden,Ennetmoos,EI,NA,OE,FALSE,613,ENOE05,MP1,46.95757910039553,8.328560840119115,10,90,7104,NA
MP1-NI-EN-2,518,Nidwalden,Ennetmoos,EI,NA,OE,FALSE,613,ENOE03,MP1,46.95299240765737,8.333253411065984,45,278,6716,NA
MP1-LU-GR-2,537,Lucerne,Greppen,EI,NA,OE,FALSE,613,GEOE09,MP1,47.05506667481814,8.436274989050927,27,267,LU.KUL.124178,NA
MP1-NI-EN-3,583,Nidwalden,Ennetmoos,EI,NA,OE,FALSE,613,ENOE08,MP1,46.943333967109496,8.311269073756927,30,134,22454,NA
MP1-LU-WE-1,616,Lucerne,Weggis,EI,NA,OE,FALSE,613,GEOE04,MP1,47.049233777944885,8.43483732221687,40,275,LU.KUL.273589,NA
MP1-GR-RH-1,653,Graubünden,Rhäzüns,EI,NA,OE,FALSE,613,RHOE09,MP1,46.781886406911546,9.408955004947568,1,47,72312906130000j00,NA
MP1-LU-GR-3,666,Lucerne,Greppen,EI,NA,OE,FALSE,616,GEOE06,MP1,47.05928195102811,8.442580845371294,40,312,LU.KUL.123979,NA
MP1-NI-EN-4,688,Nidwalden,Ennetmoos,CI,NA,WE,FALSE,616,ENWE03,MP1,46.94907816156429,8.344471129460896,40,1,18643,NA
MP1-NI-EN-5,788,Nidwalden,Ennetmoos,CE,NA,OE,TRUE,611,ENOE06,MP1,46.94666795674955,8.34205150776645,25,31,7116,NA
MP1-BE-BE-1,808,Bern,Beatenberg,CI,NA,WE,FALSE,616,BEWE05,MP1,46.69095834585457,7.794858959476794,20,138,742994,NA
MP1-LU-GR-4,827,Lucerne,Greppen,CI,NA,WE,FALSE,616,GEWE06,MP1,47.05731184243345,8.44556370248666,28,286,LU.KUL.952326,NA
MP1-GL-MA-1,856,Glarus,Matt,CI,NA,WE,FALSE,616,MAWE07,MP1,46.96872377563896,9.16148212597377,25,61,8405,NA
MP1-GR-BO-1,878,Graubünden,Bonaduz,EI,NA,OE,FALSE,613,BOOE09,MP1,46.79571909999897,9.347234254750262,1,3,72121906130000j00,NA
MP1-GR-BO-2,898,Graubünden,Bonaduz,CE,NA,OE,TRUE,611,BOOE14,MP1,46.79295556680028,9.351066771934608,12,255,ANU2002119,NA
MP1-GL-MA-2,962,Glarus,Matt,IE,NA,WE,TRUE,617,MAWE02,MP1,46.95409694473738,9.176781004772854,15,316,7808,NA
MP1-LU-GR-5,1009,Lucerne,Greppen,EI,NA,OE,FALSE,616,GEOE08B,MP1,47.05089214183194,8.44807551685663,50,358,LU.KUL.124386,NA
MP1-BE-BE-2,1029,Bern,Beatenberg,CE,NA,OE,TRUE,611,BEOE02,MP1,46.68853540861446,7.784076089771471,0,152,236608,NA
MP1-GR-RU-1,1100,Graubünden,Rueun,CI,NA,WI,FALSE,613,SIWI06,MP1,46.788970560036134,9.152906586349074,3,232,619143406130000j00,NA
MP1-BE-BE-3,1101,Bern,Beatenberg,IE,NA,WE,TRUE,617,BEWE03,MP1,46.694632754910785,7.791813248714934,17,153,863107,NA
MP1-GL-MA-3,1123,Glarus,Matt,IE,NA,WE,TRUE,617,MAWE04,MP1,46.9444229333048,9.162016527926188,20,133,7754,NA
MP1-GR-TI-1,1136,Graubünden,Tiefencastel,CI,NA,WE,FALSE,616,SVWE08,MP1,46.66805430524072,9.545330152774415,27,74,54232236160000j00,NA
MP1-BE-BE-4,1146,Bern,Beatenberg,IE,NA,WI,TRUE,612,BEWI06,MP1,46.70304804403928,7.82829461217113,20,128,199431,NA
MP1-GR-PR-1,1181,Graubünden,Präz,CE,NA,OE,TRUE,611,RHOE01,MP1,46.772050421020026,9.406591518040669,2,41,ANU2041660,NA
MP1-GR-TI-2,1202,Graubünden,Tiefencastel,IE,NA,WE,TRUE,617,SVWE06,MP1,46.667179224210344,9.543988831100275,11,73,ANU2000179,NA
MP1-BE-BE-5,1239,Bern,Beatenberg,CE,NA,OE,TRUE,611,BEOE01,MP1,46.69419846882023,7.758288900786426,45,206,236491,NA
MP1-BE-BE-6,1240,Bern,Beatenberg,CE,NA,OE,TRUE,611,BEOE08,MP1,46.69298855623915,7.771888607775248,5,186,236519,NA
MP1-GL-MA-4,1298,Glarus,Matt,IE,NA,WE,TRUE,617,MAWE05,MP1,46.96505380350618,9.182439143437772,35,235,7885,NA
MP1-GR-RH-2,1302,Graubünden,Rhäzüns,EI,NA,OE,FALSE,613,RHOE06,MP1,46.77148954276925,9.39344629204488,20,7,7231635b6130000j00,NA
MP1-GR-RH-3,1341,Graubünden,Rhäzüns,CE,NA,OE,TRUE,611,RHOE02,MP1,46.77520450353518,9.38784021839778,20,80,ANU2041695,NA
MP1-GL-MA-5,1355,Glarus,Matt,CI,NA,WE,FALSE,613,MAWE08,MP1,46.96652713361324,9.18769788760629,25,176,7957,NA
MP1-GR-FL-1,1382,Graubünden,Flerden,CE,NA,OE,TRUE,694,FLOE08,MP1,46.70817798750765,9.397240551007943,30,99,ANU1234005,NA
MP1-GR-RH-4,1395,Graubünden,Rhäzüns,IE,NA,WE,TRUE,611,RHWE05,MP1,46.77971609318525,9.383829160414004,15,95,ANU2041678,NA
MP1-GR-FL-2,1400,Graubünden,Flerden,IE,NA,WE,TRUE,611,FLWE05,MP1,46.70580465026732,9.396375083077332,25,50,ANU1224316,NA
MP1-GR-FL-3,1425,Graubünden,Flerden,CI,NA,WI,FALSE,613,FLWI02,MP1,46.706726358884566,9.395100458757051,4,76,6622766130000j00,NA
MP1-GL-MA-6,1471,Glarus,Matt,CE,NA,OE,TRUE,611,MAOE10,MP1,46.97375416752748,9.176819626500944,40,206,8051,NA
MP1-GR-PE-1,1473,Graubünden,Peist,CI,NA,WI,FALSE,613,PEWI09,MP1,46.83363284453417,9.68687010323372,12,216,921125516130000j00,NA
MP1-GR-SP-1,1500,Graubünden,Splügen,EI,NA,OE,FALSE,613,SPOE10,MP1,46.5465120709511,9.318230289385992,10,342,7148606130000j00,NA
MP1-GR-UR-1,1500,Graubünden,Urmein,CI,NA,WI,FALSE,613,FLWI04,MP1,46.70229723617156,9.391015979031485,6,78,6622896130000j00,NA
MP1-GR-MU-1,1501,Graubünden,Mutten,EI,NA,OE,FALSE,613,SVOE04,MP1,46.672274228244554,9.5115052393777475,15,352,ANU2084635,NA
MP1-GR-PE-2,1518,Graubünden,Peist,IE,NA,WE,TRUE,617,PEWE11,MP1,46.83535377347623,9.690875976078091,3,201,ANU15621,NA
MP1-GR-SP-2,1532,Graubünden,Splügen,CI,NA,WI,FALSE,613,SPWI05,MP1,46.55576893778723,9.323798628799487,27,133,7147026130000j00,NA
MP1-GR-TI-3,1542,Graubünden,Tiefencastel,CI,NA,WE,FALSE,616,SVWE03,MP1,46.66661647815103,9.525666677727632,15,33,54232906160000j00,NA
MP1-GR-SI-1,1571,Graubünden,Siat,CE,NA,OE,TRUE,611,SIOE07,MP1,46.80149130861126,9.153512472368204,20,189,ANU2206981,NA
MP1-GR-SP-3,1579,Graubünden,Splügen,CE,NA,OE,TRUE,611,SPOEX1,MP1,46.54714627999116,9.326848774406931,8,345,ANU2040212,NA
