area,precentage,bb,genus,species,plot_id,tot_cover,moss,dpm,stones,soil,author,date,height_ave,height_max,stage,management
0,0,0,Elymus,repens,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Agrostis,alpina,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Agrostis,capillaris,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Agrostis,gigantea,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Agrostis,rupestris,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Agrostis,stolonifera,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Alopecurus,pratensis,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Anthoxanthum,alpinum,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
1,10, ,Anthoxanthum,odoratum,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Arrhenatherum,elatius,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Brachypodium,pinnatum,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Briza,media,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Bromus,erectus,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Calamagrostis,varia,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Cynosurus,cristatus,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Dactylis,glomerata,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
0,0,0,Danthonia,decumbens,IWRW-06,100,0,0,0,0,IWRW-YF,19.06.2023,40,80,full bloom grasses,0
