0,0,0,genus,species,taxonCH,speciesCH,SEN,Nr_SISF,TaxonID,Rangstufe,Familie,0,0,0,already_cut,height_ave,height_max,0,0,0,0,0,worms,representativitaet,qualitaet
0,0,0,Elymus,repe,Elymus repens (L.) Gould,Elymus repens (L.) Gould,2089,146560,1016450,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,alpi,Agrostis alpina Scop.,Agrostis alpina Scop.,121,8400,1001060,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,capi,Agrostis capillaris L.,Agrostis capillaris L.,127,8600,1001080,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,giga,Agrostis gigantea Roth,Agrostis gigantea Roth,129,8700,1001090,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,rupe,Agrostis rupestris All.,Agrostis rupestris All.,131,8900,1001100,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,stol,Agrostis stolonifera L.,Agrostis stolonifera L.,130,9300,1001130,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Alopec,prat,Alopecurus pratensis L.,Alopecurus pratensis L.,358,26000,1002920,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anthox,alpi,Anthoxanthum alpinum Á. Löve & D. Löve,Anthoxanthum alpinum Á. Löve & D. Löve,498,35300,1003940,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anthox,odor,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,499,35400,1003970,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Arrhen,elat,Arrhenatherum elatius (L.) J. Presl & C. Presl,Arrhenatherum elatius (L.) J. Presl & C. Presl,628,45900,1004930,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
