Nr. SISF,Taxon ID,Rangstufe,Taxonname,Familie,Indigenat CH,Grenzgebiet,Ist Teil von: Taxonname,Ist Teil von: Nr. SISF,Ist Teil von: Taxon ID
100,1000000,sp,Abies alba Mill.,Pinaceae,I,,,,
130,1000010,sp,Abies nordmanniana (Steven) Spach,Pinaceae,NC,,,,
150,1000020,sp,Abutilon theophrasti Medik.,Malvaceae,N,,,,
160,1000030,sp,Acacia dealbata Link,Fabaceae,N,,,,
180,1000040,sp,Acalypha australis L.,Euphorbiaceae,N,,,,
200,1000050,sp,Acalypha virginica L.,Euphorbiaceae,N,,,,
250,1000060,sp,Acanthus mollis L.,Acanthaceae,NC,,,,
300,1000070,sp,Acer campestre L.,Sapindaceae,I,,,,
350,1000080,sp,Acer cappadocicum Gled.,Sapindaceae,NC,,,,
400,1000090,sp,Acer monspessulanum L.,Sapindaceae,NC,,,,
500,1000100,sp,Acer negundo L.,Sapindaceae,N,,,,
600,1000110,sp,Acer opalus Mill.,Sapindaceae,I,,,,
700,1000120,sp,Acer platanoides L.,Sapindaceae,I,,,,
800,1000130,sp,Acer pseudoplatanus L.,Sapindaceae,I,,,,
830,1000140,sp,Acer rubrum L.,Sapindaceae,NC,,,,
850,1000150,sp,Acer saccharinum L.,Sapindaceae,N,,,,
900,1000160,sp,Aceras anthropophorum (L.) W. T. Aiton,Orchidaceae,I,,,,
950,1000170,sp,Achillea ageratum L.,Asteraceae,N,,,,
1000,1000180,sp,Achillea atrata L.,Asteraceae,I,,,,
1100,1000190,sp,Achillea clavenae L.,Asteraceae,I,,,,
1200,1000210,sp,Achillea collina Rchb.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
1250,1000220,sp,Achillea crithmifolia Waldst. & Kit.,Asteraceae,N,,,,
1300,1000250,sp,Achillea distans Willd.,Asteraceae,,x,Achillea millefolium aggr.,1706,1000320
1350,1000260,sp,Achillea erba-rotta All.,Asteraceae,I,,,,
1400,1000270,subsp,Achillea erba-rotta All. subsp. erba-rotta,Asteraceae,,x,Achillea erba-rotta All.,1350,1000260
1500,1000290,subsp,Achillea erba-rotta subsp. moschata (Wulfen) Vacc.,Asteraceae,I,,Achillea erba-rotta All.,1350,1000260
1550,1000300,sp,Achillea filipendulina Lam.,Asteraceae,N,,,,
1600,1000310,sp,Achillea macrophylla L.,Asteraceae,I,,,,
1706,1000320,aggr,Achillea millefolium aggr.,Asteraceae,I,,,,
1700,1000330,sp,Achillea millefolium L.,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
1701,1000340,subsp,Achillea millefolium L. subsp. millefolium,Asteraceae,I,,Achillea millefolium L.,1700,1000330
1702,1000350,subsp,Achillea millefolium subsp. sudetica (Opiz) J. Weiss,Asteraceae,I,,Achillea millefolium L.,1700,1000330
1900,1000360,sp,Achillea nana L.,Asteraceae,I,,,,
2000,1000370,sp,Achillea nobilis L.,Asteraceae,I,,,,
2050,1000375,subsp (single),Achillea nobilis L. subsp. nobilis,Asteraceae,I,,Achillea nobilis L.,2000,1000370
2100,1000380,sp,Achillea oxyloba (DC.) Sch. Bip.,Asteraceae,,x,,,
2150,1000390,sp,Achillea pratensis Saukel & R. Länger,Asteraceae,I,,Achillea millefolium aggr.,1706,1000320
