"SEN";"Taxon";"Gattung";"Art";"Autor";"SwLi";"T";"Tv";"K";"Kv";"L";"Lv";"NS";"NSv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"WL";"PB";"FS";"GV";"EM";"EMv";"RL";"Bes"
1;"Acarospora schleicheri";"Acarospora";"schleicheri";"(Ach.) A. Massal.";"SwLi";5;"I";5;"I";5;"I";1;"I";"c";"I";2.5;"I";5;"I";1;"I";"Ak";"Ga";"ap";"Se";1;"I";"VU";"selten"
2;"Alectoria nigricans";"Alectoria";"nigricans";"(Ach.) Nyl.";"SwLi";1;"I";4;"I";5;"I";4;"I";"c";"I";2.5;"I";2;"I";1;"I";"Cl";"Ga";"st";"Bi";1;"I";"LC";"selten"
3;"Alectoria ochroleuca";"Alectoria";"ochroleuca";"(Hoffm.) A. Massal.";"SwLi";1;"I";4;"I";5;"I";4;"I";"c";"I";2.5;"I";2;"II";1;"I";"Cl";"Ga";"st";"Ho";1;"I";"LC";""
4;"Arthrorhaphis alpina";"Arthrorhaphis";"alpina";"(Schaer.) R. Sant.";"SwLi";1;"I";4;"I";5;"I";4;"I";"e";"I";3;"I";4;"II";1;"I";"Ak";"Ga";"so";"Bi";1;"I";"LC";""
5;"Arthrorhaphis citrinella";"Arthrorhaphis";"citrinella";"(Ach.) Poelt";"SwLi";1;"II";4;"I";4;"II";4;"II";"e";"I";3;"I";2;"II";1;"I";"Ak";"Ga";"so";"Bi";1;"II";"LC";""
6;"Aspicilia verrucosa";"Aspicilia";"verrucosa";"(Ach.) Körb.";"SwLi";2;"II";4;"I";5;"II";4;"II";"g";"I";4;"I";5;"II";3;"I";"Ak";"Ga";"ap";"Ho";1;"I";"LC";""
7;"Bacidia bagliettoana";"Bacidia";"bagliettoana";"(A. Massal. & De Not.) Jatta";"SwLi";4;"II";3;"II";4;"I";3;"II";"g";"I";4;"I";4;"II";3;"II";"Ak";"Ga";"ap";"Ho";3;"II";"VU";""
8;"Baeomyces placophyllus";"Baeomyces";"placophyllus";"Ach.";"SwLi";2;"I";3;"I";4;"I";4;"I";"e";"I";3;"I";2;"I";1;"I";"Ab";"Ga";"ap";"Eu";1;"II";"LC";""
9;"Baeomyces rufus";"Baeomyces";"rufus";"(Huds.) Rebent.";"SwLi";3;"II";3;"II";3;"II";3;"II";"e";"I";3;"I";2;"I";1;"I";"Ab";"Ga";"ap";"Eu";3;"II";"LC";""
10;"Bilimbia lobulata";"Bilimbia";"lobulata";"(Sommerf.) Hafellner & Coppins";"SwLi";4;"II";4;"I";4;"I";3;"II";"g";"I";4;"I";4;"II";1;"II";"Ak";"Ga";"ap";"Ho";1;"II";"LC";""
11;"Bilimbia microcarpa";"Bilimbia";"microcarpa";"(Th. Fr.) Th. Fr.";"";3;"II";3;"I";3;"II";4;"I";"g";"I";4;"I";4;"I";5;"I";"Ak";"Ga";"ap";"Ho";1;"I";"LC";""
12;"Bilimbia sabuletorum";"Bilimbia";"sabuletorum";"(Schreb.) Arnold";"SwLi";2;"II";5;"I";3;"II";2;"I";"g";"I";4;"I";4;"II";3;"II";"Ak";"Ga";"ap";"Ho";1;"II";"LC";""
13;"Bryonora castanea";"Bryonora";"castanea";"(Hepp) Poelt";"SwLi";1;"I";4;"I";4;"II";4;"II";"g";"I";4;"I";2;"II";1;"I";"Ak";"Ga";"ap";"Ho";1;"I";"DD";""
14;"Buellia elegans";"Buellia";"elegans";"Poelt";"SwLi";1;"I";4;"I";5;"I";4;"II";"e";"I";3;"I";5;"I";1;"I";"Rw";"Ga";"ap";"Se";1;"I";"VU";""
15;"Buellia epigaea";"Buellia";"epigaea";"(Pers.) Tuck.";"SwLi";2;"II";4;"I";5;"I";3;"II";"e";"I";3;"I";4;"I";1;"I";"Rw";"Ga";"ap";"Eu";3;"II";"EN";""
16;"Buellia hypophana";"Buellia";"hypophana";"(Nyl.) Zahlbr.";"";2;"II";5;"I";5;"I";1;"II";"g";"I";4;"I";2;"I";5;"I";"Ak";"Ga";"ap";"Ho";1;"I";"EN";""
17;"Buellia papillata";"Buellia";"papillata";"(Sommerf.) Tuck.";"SwLi";1;"I";4;"I";4;"I";3;"II";"g";"I";4;"I";2;"I";1;"I";"Ak";"Ga";"ap";"Pa";1;"I";"DD";"selten"
18;"Caloplaca ammiospila";"Caloplaca";"ammiospila";"(Wahlenb.) H. Olivier";"SwLi";2;"II";4;"I";5;"I";4;"I";"g";"I";4;"I";3;"II";3;"II";"Ak";"Ga";"ap";"Ho";1;"I";"LC";""
19;"Caloplaca aurea";"Caloplaca";"aurea";"(Schaer.) Zahlbr.";"SwLi";1;"I";4;"I";5;"I";4;"I";"c";"I";2;"I";5;"I";5;"I";"Ak";"Ga";"ap";"Eu";3;"I";"NT";"selten"
20;"Caloplaca jungermanniae";"Caloplaca";"jungermanniae";"(Vahl) Th. Fr.";"SwLi";1;"II";4;"I";5;"I";3;"II";"g";"I";4;"I";4;"II";3;"II";"Ak";"Ga";"ap";"Pa";1;"I";"NT";""
21;"Caloplaca livida";"Caloplaca";"livida";"(Hepp) Jatta";"SwLi";2;"I";4;"I";4;"I";3;"II";"g";"I";4;"I";2;"II";1;"I";"Ak";"Ga";"ap";"Pa";1;"I";"LC";""
22;"Caloplaca saxifragarum";"Caloplaca";"saxifragarum";"Poelt";"SwLi";2;"II";4;"I";5;"I";3;"II";"g";"I";4;"I";4;"I";5;"I";"Ak";"Ga";"ap";"Pa";1;"I";"LC";""
23;"Caloplaca sinapisperma";"Caloplaca";"sinapisperma";"(Lam. & DC.) Maheu & A. Gillet";"SwLi";2;"II";4;"II";4;"II";3;"II";"g";"I";4;"I";4;"II";5;"II";"Ak";"Ga";"ap";"Ho";3;"II";"LC";""
24;"Caloplaca tiroliensis";"Caloplaca";"tiroliensis";"Zahlbr.";"SwLi";1;"I";4;"I";5;"I";4;"II";"g";"I";4;"I";4;"II";3;"II";"Ak";"Ga";"ap";"Ho";1;"I";"LC";""
25;"Caloplaca xanthostigmoidea";"Caloplaca";"xanthostigmoidea";"(Räsänen) Zahlbr.";"SwLi";1;"I";4;"I";5;"I";4;"I";"e";"I";3;"I";4;"II";1;"I";"Ak";"Ga";"ap";"Eu";1;"I";"NT";"selten"
26;"Catapyrenium cinereum";"Catapyrenium";"cinereum";"(Pers.) Körb.";"SwLi";2;"II";4;"I";5;"I";4;"II";"e";"I";2.5;"I";4;"II";1;"II";"Sf";"Ga";"ap";"Ho";1;"I";"LC";""
27;"Catapyrenium daedaleum";"Catapyrenium";"daedaleum";"(Kremp.) Stein";"SwLi";3;"II";5;"I";4;"I";3;"II";"e";"I";2.5;"I";4;"II";1;"II";"Sf";"Ga";"ap";"Ho";1;"II";"VU";""
28;"Catapyrenium squamulosum";"Catapyrenium";"squamulosum";"(Ach.) Breuss";"SwLi";3;"II";3;"II";5;"I";2;"II";"e";"I";2.5;"I";4;"I";3;"II";"Sf";"Ga";"ap";"Ho";3;"II";"DD";""
29;"Catolechia wahlenbergii";"Catolechia";"wahlenbergii";"(Ach.) Körb.";"SwLi";2;"I";2;"I";4;"I";4;"I";"e";"I";2.5;"I";2;"II";1;"I";"Sf";"Ga";"ap";"Ho";1;"I";"VU";"selten"
30;"Cetraria aculeata";"Cetraria";"aculeata";"(Schreb.) Fr.";"SwLi";2;"II";4;"I";5;"I";3;"II";"d";"I";2.5;"I";2;"II";1;"I";"Cl";"Ga";"st";"Ho";1;"I";"LC";""
31;"Cetraria cucullata";"Cetraria";"cucullata";"(Bellardi) Ach.";"SwLi";1;"I";4;"I";5;"I";4;"II";"e";"II";3;"II";3;"II";1;"I";"Ce";"Ga";"st";"Ho";1;"I";"LC";""
32;"Cetraria ericetorum";"Cetraria";"ericetorum";"Opiz";"SwLi";1;"I";4;"I";5;"I";3;"II";"e";"II";3;"II";2;"II";1;"I";"Ce";"Ga";"st";"Ho";1;"I";"LC";""
33;"Cetraria islandica";"Cetraria";"islandica";"(L.) Ach.";"SwLi";2;"II";4;"I";4;"II";3;"II";"e";"II";3;"II";3;"II";1;"II";"Ce";"Ga";"st";"Ho";1;"II";"LC";""
34;"Cetraria nivalis";"Cetraria";"nivalis";"(L.) Ach.";"SwLi";1;"I";4;"I";5;"I";4;"I";"e";"II";3;"II";3;"II";1;"I";"Ce";"Ga";"st";"Ho";1;"I";"LC";""
35;"Cetraria tubulosa";"Cetraria";"tubulosa";"(Schaer.) Zopf";"";1;"I";4;"I";5;"I";4;"I";"e";"II";3;"II";4;"II";1;"I";"Ce";"Ga";"st";"Ho";1;"I";"NT";""
36;"Chromatochlamys muscorum";"Chromatochlamys";"muscorum";"(Fr.) H. Mayrhofer & Poelt";"SwLi";4;"II";4;"I";3;"I";2;"I";"g";"I";4;"I";5;"I";1;"I";"Ak";"Ga";"ap";"Eu";1;"I";"DD";"selten"
37;"Cladonia acuminata";"Cladonia";"acuminata";"(Ach.) Norrl.";"SwLi";2;"I";5;"I";5;"II";3;"II";"e";"II";3;"II";4;"II";1;"I";"Be";"Ga";"so";"Ho";3;"I";"VU";"selten"
38;"Cladonia amaurocraea";"Cladonia";"amaurocraea";"(Flörke) Schaer.";"SwLi";2;"I";4;"I";4;"II";3;"II";"e";"II";2.5;"II";2;"II";1;"I";"Be";"Ga";"ap";"Ho";1;"II";"LC";""
39;"Cladonia arbuscula";"Cladonia";"arbuscula";"s. l.";"SwLi";2;"II";4;"II";4;"II";3;"II";"e";"II";3;"II";2;"II";1;"I";"Cl";"Ga";"st";"Ho";1;"I";"LC";""
40;"Cladonia bellidiflora";"Cladonia";"bellidiflora";"(Ach.) Schaer.";"SwLi";2;"I";4;"II";4;"II";3;"II";"f";"I";3;"II";2;"II";1;"I";"Be";"Ga";"ap";"Ho";1;"II";"LC";""
41;"Cladonia borealis";"Cladonia";"borealis";"S. Stenroos";"SwLi";2;"II";4;"I";5;"II";3;"II";"e";"I";3;"I";2;"II";1;"I";"Be";"Ga";"so";"?";1;"I";"LC";""
42;"Cladonia caespiticia";"Cladonia";"caespiticia";"(Pers.) Flörke";"SwLi";3;"II";1;"II";3;"II";4;"I";"e";"I";3;"I";2;"II";1;"I";"Be";"Ga";"ap";"Ne";3;"II";"VU";""
43;"Cladonia cariosa";"Cladonia";"cariosa";"(Ach.) Spreng.";"SwLi";3;"II";5;"I";4;"II";3;"II";"c";"II";2.5;"II";3;"II";3;"II";"Be";"Ga";"ap";"Ho";1;"II";"VU";""
44;"Cladonia carneola";"Cladonia";"carneola";"(Fr.) Fr.";"SwLi";2;"I";4;"II";4;"I";3;"II";"f";"II";3;"II";2;"I";1;"I";"Be";"Ga";"so";"Ho";1;"I";"LC";""
45;"Cladonia cervicornis";"Cladonia";"cervicornis";"(Ach.) Flot.";"SwLi";2;"I";3;"II";4;"II";3;"II";"c";"I";2.5;"I";2;"I";1;"I";"Be";"Ga";"ap";"Ho";1;"I";"VU";""
