"SEN";"Taxon";"Kl";"Gattung";"Art";"NISM";"T";"Tv";"K";"Kv";"L";"Lv";"AS";"ASv";"F";"Fv";"R";"Rv";"N";"Nv";"H";"Hv";"WA";"WL";"VA";"FS";"SP";"SZ";"LR";"LRv";"EM";"VE";"RL";"Bes"
1;"Abietinella abietina";"M";"Abietinella";"abietina";"NISM";"3";"II";"3";"I";"4";"I";"Be Gf";"I";"2";"I";"x";"-";"1";"I";"3";"II";"";"D.n";"-";"di";"p";"Fr";"eK";"II";3;"";"";""
2;"Acaulon muticum";"M";"Acaulon";"muticum";"NISM";"3";"I";"";"";"4";"II";"Be";"I";"3";"II";"4";"I";"";"";"";"";"";"G.k";"-";"m/d";"c";"He-Fr";"eE";"II";5;">";"CR";""
3;"Aloina aloides aggr.";"M";"Aloina";"aloides aggr.";"";"4";"II";"";"";"4";"I";"Be";"I";"2";"I";"5";"II";"";"";"";"";"";"R.n";"-";"di";"c";"He-Fr";"gG";"II";3;"";"CR";""
4;"Aloina rigida";"M";"Aloina";"rigida";"NISM";"4";"II";"";"";"4";"I";"Bg Gl";"I";"2";"I";"5";"II";"";"";"";"";"";"R.n";"-";"di";"c";"He-Fr";"gG";"II";3;"";"";""
5;"Amblyodon dealbatus";"M";"Amblyodon";"dealbatus";"NISM";"2";"II";"2";"II";"3";"II";"Be Gf";"I";"4";"I";"5";"II";"1";"I";"3";"II";"";"R.n";"-";"m/d";"c";"So";"eU";"II";1;"";"VU";""
6;"Amblystegium confervoides";"M";"Amblystegium";"confervoides";"NISM";"3";"I";"";"";"2";"I";"Gf";"I";"3";"II";"4";"II";"";"";"";"";"";"Ü.n";"-";"aut";"p";"So-He";"gH";"I";1;"";"";""
7;"Amblystegium humile";"M";"Amblystegium";"humile";"NISM";"4";"I";"";"";"4";"I";"Be";"I";"5";"II";"3";"II";"";"";"";"";"";"Ü.w";"-";"aut";"m";"Fr-So";"gW";"II";3;"";"VU";""
8;"Amblystegium serpens";"M";"Amblystegium";"serpens";"NISM";"4";"II";"3";"II";"3";"II";"Pr Gf";"II";"3";"II";"4";"II";"3";"II";"";"";"";"Ü.n";"-";"aut";"c";"Fr-So";"gH";"II";3;"";"";"tax"
9;"Amblystegium subtile";"M";"Amblystegium";"subtile";"NISM";"3";"II";"3";"II";"2";"II";"Pr Ph";"I";"3";"I";"4";"II";"1";"I";"";"";"";"Ü.e";"-";"aut";"m";"So-He";"gH";"I";1;"";"";"tax"
10;"Amblystegium tenax";"M";"Amblystegium";"tenax";"NISM";"4";"II";"";"";"2";"II";"Gf";"II";"5";"I";"2";"II";"";"";"";"";"";"Ü.w";"-";"aut";"p";"Fr";"gW";"II";3;"";"";""
11;"Amblystegium varium";"M";"Amblystegium";"varium";"NISM";"4";"II";"";"";"3";"II";"Gf Pr";"II";"3";"I";"3";"II";"";"";"";"";"";"Ü.n";"-";"aut";"m";"Fr";"gH";"II";3;"";"";""
12;"Amphidium lapponicum aggr.";"M";"Amphidium";"lapponicum aggr.";"";"1";"II";"3";"II";"3";"II";"Gf";"I";"3";"II";"3";"I";"1";"I";"";"";"";"P.n";"(Bb)";"m/d";"m";"So";"eG";"II";1;"";"";""
13;"Anastrepta orcadensis";"H";"Anastrepta";"orcadensis";"NISM";"2";"I";"2";"II";"3";"II";"Gf Be";"II";"3";"I";"2";"I";"";"";"";"";"";"R.n";"Bk";"di";"-";"";"gH";"II";1;"";"VU";""
14;"Anastrophyllum assimile";"H";"Anastrophyllum";"assimile";"NISM";"3";"II";"2";"I";"3";"II";"Gf";"II";"3";"I";"2";"I";"";"";"";"";"";"Ü.n";"-";"di";"-";"";"gG";"II";1;"";"EN";""
15;"Anastrophyllum hellerianum";"H";"Anastrophyllum";"hellerianum";"NISM";"3";"I";"3";"II";"3";"II";"Ph";"I";"3";"II";"2";"I";"1";"I";"";"";"";"Ü.n";"Bk";"di";"p";"So";"gH";"I";1;"";"EN";""
16;"Anastrophyllum minutum";"H";"Anastrophyllum";"minutum";"NISM";"2";"II";"3";"II";"2";"II";"Gf Be";"II";"3";"II";"2";"II";"1";"I";"3";"I";"";"Ü.n";"Bk";"di";"p";"So-He";"gH";"II";1;"";"";""
17;"Andreaea heinemannii";"M";"Andreaea";"heinemannii";"NISM";"1";"I";"3";"II";"5";"II";"Gf";"I";"2";"II";"2";"I";"1";"I";"";"";"";"R.n";"-";"";"m";"So";"eG";"II";1;"";"VU";"tax"
18;"Andreaea nivalis";"M";"Andreaea";"nivalis";"NISM";"1";"II";"2";"II";"4";"II";"Gf";"I";"4";"I";"2";"I";"1";"II";"";"";"";"R.n";"-";"di";"p";"So";"eG";"II";1;"";"";""
19;"Andreaea rothii aggr.";"M";"Andreaea";"rothii aggr.";"";"1";"II";"2";"II";"3";"II";"Gf";"I";"3";"II";"2";"I";"";"";"";"";"";"R.n";"-";"aut";"m";"So-He";"eG";"I";1;"";"VU";""
20;"Andreaea rupestris aggr.";"M";"Andreaea";"rupestris aggr.";"";"1";"II";"2";"II";"3";"II";"Gf";"I";"3";"II";"2";"I";"1";"I";"";"";"W";"P.n";"-";"aut";"m";"Fr-So";"eG";"II";1;"";"";""
21;"Aneura pinguis aggr.";"H";"Aneura";"pinguis aggr.";"";"x";"-";"3";"I";"3";"II";"Be Bt";"II";"4";"II";"4";"II";"3";"I";"1";"II";"";"T.n";"-";"di";"m";"Fr-So";"gK";"II";1;"";"";""
22;"Anoectangium aestivum";"M";"Anoectangium";"aestivum";"NISM";"2";"I";"2";"II";"2";"II";"Gf Be";"I";"3";"II";"3";"II";"1";"I";"3";"II";"";"P.n";"-";"di";"p";"So-He";"gG";"II";1;"";"";""
23;"Anomobryum julaceum aggr.";"M";"Anomobryum";"julaceum aggr.";"";"3";"II";"2";"II";"2";"I";"Gf Be";"I";"4";"II";"2";"II";"1";"I";"1";"II";"";"R.n";"Bs";"di";"p";"So";"eU";"II";1;"";"";""
24;"Anomodon attenuatus";"M";"Anomodon";"attenuatus";"NISM";"4";"II";"3";"I";"2";"II";"Gf Pr";"I";"2";"II";"4";"I";"1";"II";"";"";"";"B.n";"-";"di";"p";"He";"gH";"I";1;"";"";""
25;"Anomodon longifolius";"M";"Anomodon";"longifolius";"NISM";"4";"II";"";"";"2";"I";"Gf Pr";"I";"2";"I";"4";"I";"";"";"";"";"";"B.n";"-";"di";"p";"He";"gH";"I";1;"";"";""
26;"Anomodon viticulosus";"M";"Anomodon";"viticulosus";"NISM";"4";"II";"3";"I";"2";"II";"Gf Pr";"I";"3";"II";"4";"I";"3";"II";"";"";"";"B.n";"-";"di";"m";"Wi";"gH";"II";3;"";"";""
27;"Anthelia julacea aggr.";"H";"Anthelia";"julacea aggr.";"";"1";"I";"3";"II";"4";"II";"Be Bg";"I";"4";"II";"2";"II";"1";"I";"3";"II";"";"Ü.n";"-";"m/d";"m";"So-He";"eS";"II";1;"";"(EN)";""
28;"Anthoceros punctatus aggr.";"A";"Anthoceros";"punctatus aggr.";"";"4";"I";"2";"II";"4";"II";"Be";"I";"3";"II";"3";"II";"3";"II";"1";"II";"L";"T.kr";"-";"mo";"c";"So-He";"eE";"I";5;">";"";"nom"
29;"Antitrichia curtipendula";"M";"Antitrichia";"curtipendula";"NISM";"3";"II";"3";"II";"3";"II";"Pr Gf";"I";"2";"II";"2";"II";"1";"I";"";"";"";"B.n";"-";"di";"m";"Fr-So";"gH";"I";3;"";"";""
30;"Aongstroemia longipes";"M";"Aongstroemia";"longipes";"NISM";"1";"II";"";"";"4";"I";"Be Bg";"I";"4";"I";"2";"II";"";"";"";"";"";"R.n";"-";"di";"m";"So";"eU";"II";1;"";"VU";""
31;"Apometzgeria pubescens";"H";"Apometzgeria";"pubescens";"NISM";"3";"II";"3";"II";"2";"I";"Gf Pr";"II";"3";"I";"5";"II";"3";"I";"";"";"";"T.n";"-";"di";"-";"";"gH";"II";1;"";"";""
32;"Asterella lindenbergiana";"H";"Asterella";"lindenbergiana";"NISM";"1";"I";"2";"I";"4";"II";"Be";"II";"3";"I";"3";"II";"";"";"";"";"";"T.n";"-";"aut";"c";"?";"gG";"II";1;"";"";""
33;"Athalamia hyalina";"H";"Athalamia";"hyalina";"NISM";"1";"II";"3";"II";"4";"II";"Be Bg";"I";"2";"I";"x";"-";"";"";"";"";"L";"T.n";"-";"di";"c";"?";"gE";"II";1;"";"VU";""
34;"Atrichum angustatum";"M";"Atrichum";"angustatum";"NISM";"4";"I";"";"";"3";"II";"Be Gl";"I";"3";"I";"2";"I";"";"";"";"";"";"R.n";"-";"di";"m";"He";"gH";"II";1;"";"";""
35;"Atrichum undulatum aggr.";"M";"Atrichum";"undulatum aggr.";"";"3";"II";"3";"II";"2";"II";"Be";"I";"3";"I";"2";"II";"3";"II";"1";"II";"L";"R.n";"-";"m/d";"c";"He-Fr";"gH";"II";3;"";"";""
36;"Aulacomnium androgynum";"M";"Aulacomnium";"androgynum";"NISM";"3";"II";"2";"I";"2";"II";"Bh Be";"II";"3";"I";"2";"I";"";"";"";"";"";"R.n";"Bb";"di";"-";"";"gH";"II";1;"";"VU";""
37;"Aulacomnium palustre";"M";"Aulacomnium";"palustre";"NISM";"3";"II";"3";"I";"4";"II";"Bt Be";"I";"4";"I";"3";"II";"1";"I";"5";"II";"";"R.n";"Bb";"di";"m";"So";"eM";"II";3;"";"";""
38;"Barbilophozia attenuata";"H";"Barbilophozia";"attenuata";"NISM";"3";"II";"2";"I";"2";"I";"Ph Bh";"II";"4";"II";"2";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"?";"gH";"II";1;"";"";""
39;"Barbilophozia barbata";"H";"Barbilophozia";"barbata";"NISM";"3";"II";"3";"II";"2";"II";"Gf Be";"II";"3";"I";"3";"II";"";"";"";"";"";"Ü.n";"Bk";"di";"p";"?";"gH";"II";1;"";"";""
40;"Barbilophozia floerkei";"H";"Barbilophozia";"floerkei";"NISM";"2";"I";"";"";"4";"II";"Bt Be";"II";"3";"II";"2";"I";"";"";"";"";"";"R.n";"";"di";"p";"So-He";"gE";"II";1;"";"";""
41;"Barbilophozia lycopodioides aggr.";"H";"Barbilophozia";"lycopodioides aggr.";"";"2";"I";"2";"II";"2";"II";"Be Bh";"II";"3";"II";"2";"I";"1";"I";"5";"I";"";"D.n";"Bk";"di";"p";"He";"gH";"II";1;"";"";""
42;"Barbilophozia quadriloba";"H";"Barbilophozia";"quadriloba";"NISM";"1";"II";"";"";"4";"I";"Be Gf";"II";"3";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bk";"di";"-";"";"gH";"II";1;"";"";""
43;"Barbula convoluta";"M";"Barbula";"convoluta";"NISM";"4";"II";"3";"I";"4";"I";"Be Gl";"II";"2";"II";"x";"-";"3";"II";"1";"I";"";"R.n";"Kr";"di";"m";"So";"eE";"II";3;"";"";""
44;"Barbula crocea";"M";"Barbula";"crocea";"NISM";"3";"II";"2";"I";"3";"II";"Be Gf";"I";"3";"II";"5";"I";"1";"I";"1";"I";"";"R.n";"Bk";"di";"m";"So-He";"gH";"II";3;"";"";""
45;"Barbula unguiculata";"M";"Barbula";"unguiculata";"NISM";"4";"II";"3";"II";"4";"I";"Be Gl";"II";"3";"II";"3";"II";"3";"II";"3";"II";"";"R.r";"-";"di";"m";"Wi-Fr";"gK";"II";3;"";"";""
46;"Bartramia halleriana";"M";"Bartramia";"halleriana";"NISM";"3";"II";"3";"II";"1";"II";"Gf Be";"II";"3";"II";"3";"II";"1";"I";"5";"II";"";"R.n";"-";"aut";"c";"Fr-So";"gH";"II";1;"";"";""
47;"Bartramia ithyphylla";"M";"Bartramia";"ithyphylla";"NISM";"1";"II";"3";"I";"3";"I";"Be Gl";"I";"3";"I";"3";"I";"1";"I";"3";"II";"";"R.n";"-";"syn";"c";"Fr-So";"eK";"II";1;"";"";""
48;"Bartramia pomiformis";"M";"Bartramia";"pomiformis";"NISM";"3";"II";"";"";"2";"I";"Gf Be";"I";"3";"I";"3";"II";"";"";"";"";"";"R.n";"-";"aut";"m";"Fr-So";"gH";"II";1;"";"";""
49;"Bazzania flaccida";"H";"Bazzania";"flaccida";"NISM";"3";"II";"";"";"2";"I";"Gf Be";"II";"3";"II";"2";"I";"";"";"";"";"";"Ü.n";"Bb";"di";"-";"";"gH";"I";1;"";"";"tax"
50;"Bazzania tricrenata";"H";"Bazzania";"tricrenata";"NISM";"2";"II";"3";"I";"2";"I";"Gf Be";"II";"3";"II";"2";"I";"1";"I";"5";"I";"";"Ü.n";"-";"di";"-";"";"gH";"II";1;"";"";"tax"
51;"Bazzania trilobata";"H";"Bazzania";"trilobata";"NISM";"3";"I";"2";"II";"1";"II";"Be Ph";"II";"3";"II";"2";"I";"1";"I";"5";"I";"";"D.n";"-";"di";"p";"So-He";"gH";"I";1;"";"";""
52;"Blasia pusilla";"H";"Blasia";"pusilla";"NISM";"2";"II";"3";"II";"3";"II";"Be Bg";"I";"4";"I";"1";"II";"1";"I";"1";"I";"";"T.r";"Bk*";"di";"p";"Fr";"gK";"II";1;"";"VU";""
53;"Blepharostoma trichophyllum aggr.";"H";"Blepharostoma";"trichophyllum aggr.";"";"2";"II";"2";"II";"2";"II";"Ph Be";"II";"3";"I";"2";"I";"1";"I";"5";"I";"";"Ü.n";"Bk";"di";"c";"Fr-He";"gH";"II";1;"";"";""
54;"Blindia acuta aggr.";"M";"Blindia";"acuta aggr.";"";"2";"II";"3";"I";"2";"II";"Gf Be";"I";"4";"II";"3";"II";"1";"I";"3";"II";"";"R.n";"-";"m/d";"m";"So";"gH";"II";1;"";"";""
55;"Brachythecium albicans";"M";"Brachythecium";"albicans";"NISM";"x";"-";"";"";"3";"II";"Be Bg";"II";"2";"I";"3";"I";"";"";"";"";"";"D.n";"-";"di";"p";"Wi";"eK";"II";3;"";"";""
56;"Brachythecium geheebii";"M";"Brachythecium";"geheebii";"NISM";"2";"I";"";"";"2";"I";"Pr";"I";"2";"II";"2";"I";"";"";"";"";"";"D.n";"-";"di";"-";"";"gH";"II";1;"";"CR";""
57;"Brachythecium glaciale";"M";"Brachythecium";"glaciale";"NISM";"1";"II";"";"";"3";"II";"Bg Be";"II";"4";"II";"2";"II";"";"";"";"";"";"Ü.n";"-";"mo";"m";"So";"gG";"II";1;"";"";""
58;"Brachythecium glareosum";"M";"Brachythecium";"glareosum";"NISM";"3";"II";"";"";"3";"II";"Be Gl";"I";"2";"II";"4";"II";"";"";"";"";"";"D.n";"-";"di";"p";"He";"eK";"II";3;"";"";""
