"SEN";"Taxon";"Gattung";"Aggregat.Einzelart";"Kleinart";"Familie";"SIN";"FAN";"FHN";"ZWN";"WSN";"ZDSF";"T";"Tv";"K";"Kv";"L";"Lv";"F";"Fv";"W";"R";"Rv";"N";"Nv";"S";"M";"H";"Hv";"D";"Dv";"LF";"BD";"WT";"RO";"KS";"DA";"VA";"FS";"MA";"BZ";"BZ.S";"BZ.D";"BS";"MV";"SU";"DG";"GI";"GV";"LR";"EG";"AE";"EM";"VE";"CH";"JU";"JU1";"JU2";"MP";"MP1";"MP2";"NA.";"NA1";"NA2";"WA";"EA";"SA";"SA1";"SA2";"SA3";"PS";"PS1";"PS1_txt";"PS2";"PS2_txt";"PS3";"PS3_txt";"BL";"SL";"TB"
"1";"1";"Abies alba";"Abies";"alba";"";"Pinaceae";"100";"10.1.1";"86";"91";"83";"ZDSF";"3";"I";"2";"I";"1";"II";"4";"I";"2";"3";"II";"3";"I";"";"m";"5";"II";"1";"I";"p";"i";"5";"Wh";"ccc";"Me";"Kv";"mo";">600*";"5";"5";"1";"an";"-";"1";3;"e";"E1";"2.9 9.1 9.2";"1";"I";"2";">*";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"14.31 14.731 14.2";14.31;"Piceetalia excelsae";14.731;"Fagion sylvaticae";"14.2";"Erico-Pinetea";"";"";"A"
"2";"2";"Abutilon theophrasti";"Abutilon";"theophrasti";"";"Malvaceae";"150";"-";"-";"2016";"-";"ZDSF";"5";"I";"4";"II";"4";"I";"2.5";"I";"2";"4";"I";"4";"II";"";"";"3";"I";"3";"II";"t";"s";"2";"-";"crr";"At";"Kv";"zw";"";"7-10";"7 8 9 10";"4";"en";"-";"4";1;"h";"A4a";"1.4 2.1 2.2 2.9";"7";"N";"5";"<";"(NT)";"-";"-";"-";"(VU)";"-";"(VU)";"-";"-";"-";"-";"-";"(NT)";"(NT)";"-";"-";"2.11";NA;"";NA;"";"2.11";"Bidentetalia tripartitae";"d f g";"383";""
"3";"3";"Acacia dealbata";"Acacia";"dealbata";"";"Fabaceae";"160";"64.2.1";"1080a";"-";"-";"ZDSF";"5";"I";"1";"II";"4";"I";"2";"I";"2";"3";"II";"3";"II";"s";"";"3";"I";"3";"II";"p";"i";"4";"Wh";"crr";"En";"Sr";"zw";"";"1-3";"1 2 3";"3";"";"-";"";1;"";"A5";"2.9 9.2";"7";"N";"4";"<";"(DD)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"(DD)";"(DD)";"-";"-";"14.411";NA;"";NA;"";"14.411";"Quercion robori-sessiliflorae";"h k m";"";""
"4";"4";"Acalypha virginica";"Acalypha";"virginica";"";"Euphorbiaceae";"200";"80.2.1";"1330";"1942";"-";"ZDSF";"5";"I";"2";"I";"4";"I";"2";"I";"1";"3";"I";"3";"II";"";"";"3";"I";"3";"I";"t";"s";"1";"-";"rrs";"Ep";"Kv";"mo";"";"6-10";"6 7 8 9 10";"5";"";"-";"";2;"mg";"A2";"2.1";"7";"N";"5";"<";"(NT)";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"-";"(NT)";"(NT)";"-";"-";"2.322?";NA;"";NA;"";"2.322?";"Panico-Setarion?";"";"";""
"5";"5";"Acanthus mollis";"Acanthus";"mollis";"";"Acanthaceae";"-";"-";"-";"-";"-";"";"5";"I";"2";"I";"3";"I";"2.5";"I";"1";"3";"I";"4";"I";"";"";"3";"I";"3";"I";"h";"s";"3";"Rh";"ccr";"Bo";"Au";"zw";"";"6-8";"6 7 8";"3";"me";"-";"";2;"";"C2";"2.2 2.9";"-";"N";"4";"<";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"5.13";NA;"";NA;"";"5.13";"Galio-Alliarietalia";"g k m";"";""
"6";"6";"Acer campestre";"Acer";"campestre";"";"Aceraceae";"300";"87.1.2";"1363";"1988";"996";"ZDSF";"4";"I";"3";"I";"3";"I";"2.5";"I";"1";"3";"I";"3";"I";"";"m";"3";"I";"3";"II";"p";"s";"4.5";"Wh";"ccc";"Me Dy";"Kv";"mo";"120*";"4-5";"4 5";"2";"me";"-";"";1;"e";"B6";"7.4 9.1 9.2 9.3";"1";"I";"1";"=";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"-";"LC";"14.733 13.31 14.811";14.733;"Carpinion betuli";13.31;"Prunetalia spinosae";"14.811";"Quercion pubescenti-sessiliflorae";"";"";""
"7";"7";"Acer monspessulanum";"Acer";"monspessulanum";"";"Aceraceae";"400";"87.1.5";"-";"1987";"-";"ZDSF";"4.5";"I";"3";"I";"3";"I";"2";"I";"1";"4";"I";"2";"I";"";"";"3";"I";"3";"II";"n-p";"s";"3";"Wh";"ccc";"Me";"Kv";"mo";"150*";"4-5";"4 5";"2";"en";"-";"";1;"e";"C1";"2.9 7.3 7.4 9.3";"-";"I";"2";"=";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"14.81";14.81;"Quercetalia pubescenti-sessiliflorae";NA;"";"";"";"";"";""
"8";"8";"Acer negundo";"Acer";"negundo";"";"Aceraceae";"500";"87.1.6";"1365";"1984";"-";"ZDSF";"4.5";"I";"2";"I";"3";"I";"3.5";"II";"3";"3";"I";"4";"II";"";"";"3";"II";"3";"II";"p";"s";"3";"Wh";"ccc";"Me";"Sr";"mo";"80*";"4-5";"4 5";"2";"an";"-";"";2;"e";"A2c";"2.9 9.2 9.5";"1";"N";"4";"<";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"(DD)";"14.71";NA;"";NA;"";"14.71";"Populetalia albae";"";"";""
"9";"9";"Acer opalus";"Acer";"opalus";"";"Aceraceae";"600";"87.1.4";"1364";"1989";"998";"ZDSF";"4.5";"I";"3";"I";"3";"I";"2";"I";"1";"4";"I";"3";"I";"";"";"3";"I";"3";"II";"p";"s";"3";"Wh";"ccc";"Me";"Sr";"mo";"500*";"4-5";"4 5";"2";"en";"-";"";1;"e";"E2b";"7.4 9.2 9.3";"1";"I";"1";"=";"LC";"LC";"LC";"-";"NT";"NT";"-";"NT";"NT";"-";"LC";"-";"-";"-";"-";"-";"14.811";14.811;"Quercion pubescenti-sessiliflorae";NA;"";"";"";"";"";""
"10";"10";"Acer platanoides";"Acer";"platanoides";"";"Aceraceae";"700";"87.1.1";"1362";"1986";"995";"ZDSF";"4";"I";"3";"I";"2";"II";"3";"I";"1";"4";"II";"3";"I";"";"m";"3";"I";"1";"I";"p";"s";"4";"Wh";"ccc";"Me Dy";"Sr";"mo";"150*";"4-5";"4 5";"2";"an me";"-";"";1;"e";"D3";"2.9 7.4 9.2";"1";"I";"3";"=";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"LC";"NT";"LC";"LC";"LC";"LC";"LC";"14.72 14.735 14.736";14.72;"Fraxinetalia";14.735;"Tilio-Acerion";"14.736";"Tilion platyphylli";"";"";""
